id,ticket_id,category,priority,question,response
1,TKT100000,UPI,High,Please assist. yesterday I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
2,TKT100001,Debit Card,High,I need help because I have a lost card issue.,Block your debit card immediately and request a replacement.
3,TKT100002,UPI,High,today I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
4,TKT100003,UPI,High,Can you help me? yesterday I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
5,TKT100004,UPI,High,Can you help me? I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
6,TKT100005,KYC,Medium,I have a update issue.,Submit valid KYC documents online or at your branch.
7,TKT100006,Loans,Medium,Can you help me? at an ATM I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
8,TKT100007,Loans,Medium,Can you help me? yesterday I have a loan statement issue.,Download it through internet banking or request it from your branch.
9,TKT100008,Loans,Medium,I need help because at an ATM I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
10,TKT100009,UPI,High,Please assist. I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
11,TKT100010,Loans,Medium,I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
12,TKT100011,UPI,High,I need help because I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
13,TKT100012,Loans,Medium,Urgent: while using mobile banking I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
14,TKT100013,Debit Card,High,I need help because today I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
15,TKT100014,Debit Card,High,I need help because yesterday I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
16,TKT100015,UPI,High,Please assist. at an ATM I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
17,TKT100016,Loans,Medium,Please assist. while using mobile banking I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
18,TKT100017,Debit Card,High,Please assist. today I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
19,TKT100018,Debit Card,High,Can you help me? yesterday I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
20,TKT100019,KYC,Medium,Please assist. I have a expired issue.,Update your KYC to avoid interruption of banking services.
21,TKT100020,Debit Card,High,Please assist. today I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
22,TKT100021,Debit Card,High,Please assist. at an ATM I have a lost card issue.,Block your debit card immediately and request a replacement.
23,TKT100022,Loans,Medium,Can you help me? I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
24,TKT100023,Loans,Medium,at an ATM I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
25,TKT100024,KYC,Medium,Please assist. yesterday I have a update issue.,Submit valid KYC documents online or at your branch.
26,TKT100025,Debit Card,High,Urgent: I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
27,TKT100026,Loans,Medium,Urgent: at an ATM I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
28,TKT100027,KYC,Medium,Can you help me? yesterday I have a expired issue.,Update your KYC to avoid interruption of banking services.
29,TKT100028,KYC,Medium,I need help because today I have a update issue.,Submit valid KYC documents online or at your branch.
30,TKT100029,Debit Card,High,Can you help me? at an ATM I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
31,TKT100030,UPI,High,I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
32,TKT100031,KYC,Medium,Please assist. I have a PAN update issue.,Submit your PAN update request with supporting documents.
33,TKT100032,UPI,High,I need help because I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
34,TKT100033,Loans,Medium,Please assist. today I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
35,TKT100034,Loans,Medium,Can you help me? at an ATM I have a loan statement issue.,Download it through internet banking or request it from your branch.
36,TKT100035,UPI,High,Please assist. I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
